Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","SMD-0603",12.8960,9.7500,90.0000,bottom
"C3","10uF","SMD-0805",10.8210,9.9000,90.0000,bottom
"C4","100nF","SMD-0603",11.8110,5.3595,90.0000,bottom
"C5","100nF","SMD-0603",16.7640,4.8260,-90.0000,bottom
"D1","BZX585-B5V6.115","D_SOD-523",9.0710,9.7750,90.0000,bottom
"D2","LED GREEN","LED_1206_mill",8.5000,13.0000,0.0000,bottom
"J1","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",2.9972,7.5000,90.0000,bottom
"J2","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",2.9972,7.5000,-90.0000,top
"M1","M3","dira_3mm",22.5000,15.0000,0.0000,top
"M2","M3","dira_3mm",12.5000,0.0000,0.0000,top
"M3","M3","dira_3mm",2.5000,0.0000,0.0000,top
"M4","M3","dira_3mm",12.5000,15.0000,0.0000,top
"M5","M3","dira_3mm",22.5000,0.0000,0.0000,top
"M6","M3","dira_3mm",2.5000,15.0000,0.0000,top
"R1","180R","SMD-0603",7.4210,9.8500,90.0000,bottom
"R3","10k","SMD-0603",16.6370,9.7790,-90.0000,bottom
"R10","10k","SMD-0603",14.7320,9.7790,-90.0000,bottom
"U2","SCD41-D-R2","Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm",23.8760,7.5000,90.0000,bottom
"U3","MIC5504-3.3YM5","SOT-23-5",9.0170,6.0960,90.0000,bottom
